# gpstime BSN BCI f_mean f_median hrss_mean hrss_median Q_mean Q_median
1.126811233490000010e+09 1.151905200000000029e+01 6.810999999999999943e+00 5.594993420759986975e+02 5.592687111157459867e+02 5.683843397533904519e-23 5.627492947813609864e-23 1.054381474428562626e+01 1.026652679156875081e+01
1.127094876150000095e+09 1.137395899999999926e+01 3.153000000000000025e+00 1.061967753898352527e+02 1.061513608198779934e+02 5.257303356794941071e-23 4.887245257367772217e-23 2.523050919968286365e+01 2.475160857172490125e+01
1.127211000569999933e+09 1.068446899999999999e+01 4.663999999999999702e+00 3.208173648954107762e+02 3.207777722669709988e+02 6.906726524392779986e-23 6.840835037592202153e-23 1.641112845464718362e+01 1.613984669252819870e+01
1.127529174730000019e+09 1.472563000000000066e+01 5.910000000000000142e+00 5.387260143602679818e+02 5.388439428005659693e+02 6.133453237356572864e-23 6.049100139338576870e-23 7.460370065045479748e+01 7.390370811749339452e+01
1.127639732789999962e+09 3.731068000000000051e+00 2.556999999999999940e+00 8.848410814305426584e+02 8.955983646437109655e+02 7.242960836409907813e-23 6.474284202644150695e-23 1.591145038476626716e+01 8.642445244038540864e+00
1.127719911319999933e+09 1.207650699999999944e+01 6.232999999999999652e+00 2.270302196632403309e+02 2.269126064440355037e+02 4.840369378264895637e-23 4.450763903286883017e-23 1.890004277605704175e+01 1.798335623639400183e+01
1.128128242730000019e+09 1.365621800000000086e+01 2.438000000000000167e+00 7.948575482819695708e+02 7.907134885964539990e+02 9.005697496437740136e-23 8.946018147957140373e-23 5.268912975733119453e+00 4.970395914692439909e+00
1.128446528970000029e+09 8.805272999999999683e+00 4.458000000000000185e+00 1.062244871631953771e+02 1.062004091450830003e+02 5.308611864257642862e-23 4.682042852148821164e-23 1.149988984074491860e+01 1.094885079618340029e+01
1.129217334410000086e+09 1.386630000000000074e+01 5.711999999999999744e+00 3.486203774354625011e+02 3.486860982896455425e+02 5.491137316562158960e-23 5.329333320886587347e-23 3.062542633932971370e+01 2.979831001031960014e+01
1.129638699619999886e+09 1.898222499999999968e+01 5.889999999999999680e+00 3.585802889782909801e+02 3.585256896732925043e+02 5.662088806433248541e-23 5.305252255831815685e-23 6.129241647153168060e+01 6.039613556500904679e+01
1.130476562680000067e+09 5.553700000000000081e+00 1.449999999999999900e-01 5.624815195921224813e+02 5.606086190156839848e+02 4.999211199963049860e-23 4.593530547275602979e-23 7.455027818674065543e+01 7.497923350121000396e+01
1.130746026000000000e+09 1.287932299999999941e+01 6.865999999999999659e+00 5.428619711195138962e+02 5.428531511878354650e+02 5.969367645728541021e-23 5.758195901594905197e-23 8.939244883401056541e+01 9.083607970449236291e+01
1.130787469539999962e+09 1.393370099999999923e+01 5.732000000000000206e+00 7.329707849561144712e+02 7.320792472222899505e+02 1.096980077292543020e-22 1.153499418045824738e-22 4.767261903656452304e+00 4.613882730897439721e+00
1.131168384509999990e+09 5.166565000000000296e+00 1.010000000000000064e-01 8.816159967207634054e+02 8.839699811577295350e+02 9.152037231150409054e-23 8.444494330508752741e-23 3.639724873971486119e+01 3.172491967634874754e+01
1.132403943940000057e+09 8.773206000000000060e+00 4.583999999999999631e+00 8.218565228721917038e+02 8.239542359409830397e+02 1.019508623161154978e-22 1.011722794420082774e-22 9.052207156732389848e+00 8.960999748658890596e+00
1.132793661509999990e+09 9.910329000000000832e+00 6.608999999999999986e+00 9.166434250023150980e+02 9.131709520382280516e+02 8.869391403059453011e-23 8.664126847365539753e-23 7.067272598798688854e+00 6.552951021990210734e+00
1.133006853849999905e+09 8.377325000000000799e+00 2.384999999999999787e+00 2.813983398225581141e+02 2.804148069789214901e+02 4.371349731248253091e-23 4.086063362126501394e-23 8.545310333694465044e+01 8.674226176194159166e+01
1.133064686069999933e+09 2.930321000000000176e+00 1.768999999999999906e+00 3.656914707934773219e+02 3.577382420137855092e+02 4.350100814366888586e-23 4.151454275631198233e-23 7.500089433551947593e+01 7.806927462024648889e+01
1.133127855380000114e+09 1.349205300000000030e+01 3.354000000000000092e+00 5.040206026580980847e+02 5.047942434557775186e+02 7.513196241476634724e-23 6.573615293568445542e-23 1.670969921388096324e+01 1.610861753718380029e+01
1.133296678210000038e+09 4.639783999999999686e+00 2.677000000000000046e+00 7.984580469271792253e+02 7.944034397449189555e+02 6.652735572618205916e-23 6.299139408010188317e-23 4.522511318028461957e+00 3.245608463185789994e+00
1.133999682640000105e+09 8.184438999999999353e+00 5.147000000000000242e+00 6.469843110510328188e+02 6.453848811220350399e+02 6.042598827979445517e-23 5.851473567620417109e-23 5.592510891927394923e+00 4.977262107250510326e+00
1.135046446480000019e+09 5.906578999999999802e+00 2.564000000000000057e+00 3.248764528958636220e+02 3.249337389211419804e+02 4.564059572233077721e-23 4.110319070112840556e-23 3.645945665751429487e+01 3.556528060239200073e+01
1.135149383390000105e+09 1.388940400000000075e+01 6.025000000000000355e+00 9.257502471229594221e+02 9.227596419777220262e+02 1.267630838785408243e-22 1.298309690578052547e-22 1.455236304571026373e+01 1.414707479231839926e+01
1.135178824990000010e+09 1.018355799999999967e+01 4.863999999999999879e+00 6.023481515261453296e+02 6.021406622115625851e+02 5.850080649763106782e-23 5.798580621103068481e-23 8.323419014183285114e+00 8.077008594335499225e+00
1.135492122380000114e+09 9.651160000000000849e+00 4.282000000000000028e+00 6.269498126733810750e+02 6.269752139386439467e+02 6.633216505510738642e-23 6.223921367025705409e-23 4.357455422464030903e+01 4.214543543328935016e+01
1.135796937109999895e+09 4.516410999999999731e+00 1.657999999999999918e+00 4.500871546362441222e+02 4.235358955194009809e+02 5.995024541994982220e-23 5.485753029828328612e-23 1.251422333277913701e+01 9.890415579664759704e+00
1.136503397920000076e+09 9.072419999999999263e+00 5.059000000000000163e+00 2.195193024087976994e+02 2.191370453398789948e+02 4.422114106992007423e-23 4.072001776643421307e-23 7.452689035196438283e+01 7.277343530407759431e+01
1.136907505680000067e+09 4.002820999999999962e+00 1.030000000000000027e+00 8.201553284151087837e+02 8.676671854571079621e+02 5.450733321137837717e-23 4.839016777754036552e-23 1.963711283708597222e+01 6.672055941479070107e+00
1.137227407819999933e+09 1.939059000000000088e+00 7.780000000000000249e-01 8.200586287474391156e+02 8.777234261104570123e+02 5.664016921513258078e-23 4.878258742383221496e-23 2.248496900848672553e+01 8.990221137361400494e+00
1.126076671269999981e+09 6.743339999999999890e+00 4.108999999999999986e+00 1.304058698992352276e+02 1.296761038852440038e+02 4.637852691279643532e-23 4.371052056171865326e-23 4.025342409953491085e+01 3.854823253835195374e+01
1.126165503279999971e+09 1.376301499999999933e+01 7.522000000000000242e+00 9.178575530408820669e+02 9.166014430084959486e+02 8.809421533180943232e-23 8.613507962568276053e-23 1.073167790765714358e+01 1.044979694426080030e+01
1.126597868970000029e+09 9.851010999999999740e+00 5.530000000000000249e+00 6.652608413247902490e+02 6.651647891930620062e+02 9.427500096097604268e-23 8.987827297386369233e-23 7.061951949710287835e+00 6.529471039047040293e+00
1.126935097750000000e+09 6.958266000000000062e+00 2.056999999999999940e+00 5.963454578451257930e+02 5.956564321614125674e+02 5.267026766816270645e-23 4.957888086071103561e-23 1.643424202266599110e+01 1.536070953208364998e+01
1.127353324470000029e+09 5.216942999999999664e+00 7.179999999999999716e-01 7.648856596952235805e+02 7.435180627075709481e+02 5.840044422936240142e-23 5.687486514757164079e-23 1.546398518984939408e+01 8.537275021685239551e+00
1.127376424230000019e+09 3.903681999999999874e+00 2.608000000000000096e+00 2.138387529337406932e+02 2.072189685578150034e+02 4.455906455735512769e-23 4.117619512064009845e-23 6.811485233251517002e+01 6.798393532485610535e+01
1.127456515799999952e+09 9.203068000000000026e+00 4.567000000000000171e+00 2.477398633597596813e+02 2.474356939952830032e+02 4.761974675698906946e-23 4.398550932092517727e-23 7.623969762975963249e+01 7.553290265150180005e+01
1.127693472789999962e+09 1.240432900000000060e+01 3.091000000000000192e+00 8.912503328989461124e+02 8.911469918465739966e+02 9.510789560908833211e-23 9.671706816058836225e-23 3.415718599670292832e+01 3.275749372345909904e+01
1.127725007839999914e+09 1.194393499999999975e+01 3.286000000000000032e+00 5.978894213036994643e+02 5.977910409133960457e+02 7.756533205303586693e-23 7.185334220335787085e-23 2.920161489159515966e+01 2.778765855564874698e+01
1.127791822440000057e+09 7.070718000000000281e+00 2.668000000000000149e+00 7.699316533688457866e+02 7.701042306536270416e+02 6.670932240388699756e-23 6.143082146903671660e-23 2.337153312447744469e+01 2.244107467390610111e+01
1.128675263019999981e+09 9.925205000000000055e+00 3.890000000000000124e+00 7.585283994493352111e+02 7.583197254194250263e+02 7.437155828512967195e-23 7.208461564811041906e-23 7.097453714191313168e+01 7.035034174397010531e+01
1.128914890819999933e+09 9.149656999999999485e+00 2.279999999999999805e+00 7.883766997468937916e+02 7.912405387819325142e+02 6.811319619782425561e-23 7.123996573970288961e-23 9.009837008891258492e+00 8.739200249030499634e+00
1.128919192920000076e+09 1.175681400000000032e+01 1.836999999999999966e+00 4.808047816083058592e+02 4.805385126986554951e+02 5.751365342350283408e-23 5.459221846599448591e-23 4.685174574487295729e+01 4.653340535489894592e+01
1.129636460509999990e+09 8.695904999999999774e+00 4.804000000000000270e+00 5.735287994798455884e+02 5.731094088861409546e+02 5.991783903075984075e-23 5.559656408719817616e-23 2.582981737498381847e+01 2.454777067519785305e+01
1.130021816009999990e+09 1.194912799999999997e+01 6.230999999999999872e+00 8.433997360821117582e+02 8.350346001161799450e+02 9.195951810405312245e-23 8.892432126605717855e-23 3.539744163175260194e+00 3.482402211097400002e+00
1.130779209369999886e+09 9.557733000000000700e+00 4.423000000000000043e+00 5.514856843329365574e+02 5.514424472250715326e+02 5.709280189831554993e-23 5.582894144303282660e-23 9.233838599460705154e+01 9.790271571669305217e+01
1.131640085940000057e+09 1.232041100000000000e+01 6.448000000000000398e+00 6.020297776731690647e+02 6.019354084624364987e+02 7.564819114235707144e-23 7.418530028243337049e-23 9.495614399850493825e+00 9.209583901296429786e+00
1.131720408970000029e+09 8.357965999999999340e+00 2.430000000000000160e+00 6.241870861271623880e+02 6.250062599865650554e+02 1.088465000503705428e-22 1.111741928448297014e-22 8.021056401736942121e+00 7.422980632850370242e+00
